Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;2;Load;Time;69253200
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;2;Load;Memory;4957456
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;2;Run;Time;78523300
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;2;Run;Memory;5012176
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Initialization;Time;521000900
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Initialization;Memory;4569976
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Load;Time;150326300
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Load;Memory;5319192
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Run;Time;261587500
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;2;Run;Memory;5563856
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Initialization;Time;226620500
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Initialization;Memory;4703744
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Load;Time;100744400
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Load;Memory;3592944
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Run;Time;527602700
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;3;Run;Memory;4612008
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Initialization;Time;225430200
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Initialization;Memory;4703568
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Load;Time;193978400
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Load;Memory;3961056
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Run;Time;47479744100
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;3;Run;Memory;4718520
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Initialization;Time;504842300
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Initialization;Memory;4570400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Load;Time;71448400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Load;Memory;4953304
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Run;Time;73628700
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;3;Run;Memory;5009840
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Initialization;Time;512989300
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;3;Initialization;Memory;4569728
